Round,TotalPackets,Duration(s),Throughput(p/s),Errors
1,721,25.42,28.363493312352478,0
2,601,20.019,30.021479594385337,0
3,574,20.194,28.42428444092305,0
4,565,20.197,27.974451651235334,0
5,558,20.18,27.651139742319128,0
6,524,19.147,27.367211573614668,0
7,300,10.1,29.702970297029704,0
