Round,TotalPackets,Duration(s),Throughput(p/s),Errors
1,735,25.355,28.988365213961742,0
2,610,20.089,30.364876300462942,0
3,553,20.227,27.339694467790576,0
4,557,20.244,27.514325232167558,0
5,564,19.149,29.453235155882812,0
6,547,20.188,27.095304141073907,0
7,300,10.563,28.40102243680772,0
