Round,TotalPackets,Duration(s),Throughput(p/s),Errors
1,714,25.332,28.185693983893888,0
2,570,20.148,28.29064919594997,0
3,573,20.206,28.357913491042265,0
4,484,20.142,24.029391321616522,0
5,452,19.255,23.47442222799273,0
6,401,20.119,19.93140812167603,0
7,300,14.645,20.484807101399795,0
